name,region_clean,address_city,facilityTypeId,is_ngo,enriched_capability,procedure_text,specialties_text,equipment_text,description,confidence
Tamale Central Hospital,Northern,Tamale,hospital,FALSE,Government-owned primary hospital in Ghana | NHIS accredited | Provides general medical services | general medicine | inpatient care | internal medicine | outpatient care,Provides general internal medicine consultations,internalMedicine,,Tamale Central Hospital is a government primary hospital in Ghana. It offers a general services. This primary hospital is NHIS accredited.,High
Azimbe Hospital,Upper East,Bawku,hospital,FALSE,Official website azimbehospital.com | general medicine | inpatient care | internal medicine | outpatient care,Provides general internal medicine consultations,internalMedicine,,"Hospital in Atuba Binduri, Bawku, Ghana.",Medium
DEL International Hospital,Greater Accra,Accra,hospital,FALSE,"24/7 emergency department with ambulance rapid response | Fertility Center with IUI procedures | Laboratory services operate from 8:00 AM to 8:00 PM | Located opposite PH Hotel, East Legon, Accra | Offers intrauterine insemination (IUI) procedures | Offers online consultations | On-site 24-hour pharmacy | On-site laboratory facilities for diagnostic testing | On-site radiology department offering X-ray and fluoroscopy imaging | Provides general surgery services | Serves the Accra Metropolis in the Greater Accra Region, Ghana | antenatal care | blood tests | delivery | dental care | dental surgery | diagnostic imaging | diagnostic testing | general medicine | imaging services | inpatient care | internal medicine | laboratory services | labour ward | maternity | maternity care | obstetrics | outpatient care | pathology lab | radiology | tooth extraction | ultrasound | x-ray",Offers intrauterine insemination (IUI) procedures | Provides general surgery services,reproductiveEndocrinologyAndInfertility | gynecologyAndObstetrics | radiology | dentistry | physicalMedicineAndRehabilitation | pathology | internalMedicine,On-site radiology department offering X-ray and fluoroscopy imaging | On-site laboratory facilities for diagnostic testing,"We are an ultra-modern hospital providing varying in-patient and out-patient services to the Accra Metropolis in Greater Accra Region, Ghana and even beyond. Located opposite the PH Hotel, East Legon.",High
Metro Health Hospital,Ashanti,Kumasi,hospital,FALSE,"24 hour emergency | 24x7 help and support available | ENT services | Ear, Nose & Throat clinic operates Wednesdays 3:30pm–6:00pm | ElderCare Unit opened on 1 September 2020 | ElderlyCare/Geriatric Care services are offered | ICU | Obstetrics & Gynecology clinic operates Mondays 8:00am–2:00pm | Orthopedics clinic operates Wednesdays 3:00pm–6:00pm | Ultrasound imaging equipment used for advanced ultrasound services | accident and emergency | antenatal care | bone surgery | cardiac care | cardiology services | delivery | diagnostic imaging | dialysis | ear nose throat | emergency care | eye care | eye surgery | fracture treatment | general medicine | heart treatment | imaging services | inpatient care | intensive care | intensive care unit | internal medicine | kidney care | labour ward | maternity | maternity care | obstetrics | optical services | orthopedic surgery | otolaryngology | outpatient care | radiology | renal services | ultrasound | urological procedures | urology services | x-ray","Provides advanced ultrasound imaging including cardiology, kidney/prostate, fetal anomaly, and general ultrasound",ophthalmology | otolaryngology | gynecologyAndObstetrics | orthopedicSurgery | geriatricsInternalMedicine | endocrinologyAndDiabetesAndMetabolism | radiology | clinicalPathology | cardiology | nephrology | urology | internalMedicine,Ultrasound imaging equipment used for advanced ultrasound services,"At Metro Health Hospital, we strive to create healing and nurturing environments for our patients to address medical, emotional and social needs.",High
Tema Women’s Hospital,Greater Accra,Tema,hospital,FALSE,ICU | IVF (In vitro fertilization) | The IVF unit provides infertility services and specialist gynecological services. | The laboratory employs fully trained personnel and offers comprehensive tests and services. | antenatal care | critical care | delivery | general medicine | inpatient care | intensive care unit | internal medicine | laboratory services | labour ward | maternity | maternity care | obstetrics | outpatient care,IVF (In vitro fertilization),gynecologyAndObstetrics | reproductiveEndocrinologyAndInfertility | internalMedicine,The hospital laboratory is equipped with computers and instruments for quick and accurate inpatient and outpatient diagnoses.,"The Tema Women’s Hospital provides services in obstetrics and gynaecology as well as general clinic for both in patient and out patient in a relaxed, caring and supportive environment. In 1999, Dr. Paul Owusu Baah, after working in Ghana for some years , realized the need for a fertility services in the hospital, hence the birth of the In Vitro fertilization (IVF) Unit. Since then, the unit has combined professinal care and meticulous laboratory techniques which has resulted in high pregnancy rates for couples who present with infertility problems.",High
Avril Clinic,Ashanti,Akaporiso,clinic,FALSE,"Has laboratory | Has pharmacy | Has radiology equipment | Listed in Doctors and Clinics, Hospitals, Medical Clinics, and Wellness categories on GhanaYello. | Performs surgery | Provides emergency services | Provides general medical services | Registered with GhanaYello on 12 Apr, 2018. | general medicine | inpatient care | internal medicine | outpatient care",Provides general medical services | Provides emergency services | Performs surgery,internalMedicine,Has laboratory | Has pharmacy | Has radiology equipment,"Avril Clinic is a private clinic in Ashanti, Akaporiso Ghana.",Medium
Mercy Women Catholic Hospital - Mankessim,Central,Mankessim,hospital,FALSE,24 hour emergency | 24-hour Accident and Emergency Unit | ECG machine | ECG testing is performed | Fistula Unit has a 45-bed capacity ward for obstetric fistula repair | Has a 24-hour emergency hotline | Obstetric fistula repair is performed | On-site laboratory facilities | Physiotherapy Unit staffed by a physiotherapist and two physiotherapy assistants | Ultrasound scanner | Ultrasound scanning is performed | X-ray imaging equipment | X-ray imaging is performed | accident and emergency | antenatal care | child health | children care | delivery | diagnostic imaging | emergency care | emergency medicine | eye care | eye surgery | general medicine | imaging services | inpatient care | internal medicine | laboratory services | labour ward | maternity | maternity care | neonatal care | obstetrics | optical services | outpatient care | pediatric care | trauma care,Obstetric fistula repair is performed | X-ray imaging is performed | ECG testing is performed | Ultrasound scanning is performed,gynecologyAndObstetrics | ophthalmology | emergencyMedicine | physicalMedicineAndRehabilitation | pediatrics | internalMedicine,X-ray imaging equipment | ECG machine | Ultrasound scanner | On-site laboratory facilities,"Mercy Women Catholic Hospital - Mankessim has a 45-bed capacity ward with a spacious Out Patients Department (OPD), a laboratory, consulting and examination rooms, pharmacy, etc. The hospital offers obstetric fistula repair, diagnostic services (including x-ray, ECG, and ultrasound), Eye Clinic, Special Clinics, 24-hour Accident & Emergency Unit, Physiotherapy, Child Welfare Clinic, and Maternal Health services.",High
The Bank Hospital,Greater Accra,Accra,hospital,FALSE,No medical equipment details are provided in the content. | The Bank Hospital has not specified clinical procedures in the provided content. | general medicine | inpatient care | internal medicine | outpatient care,The Bank Hospital has not specified clinical procedures in the provided content.,internalMedicine | medicalOncology,No medical equipment details are provided in the content.,"The Bank Hospital. The leading name in Advanced Healthcare for all. Exceptional Care, Every Patient, Every Day.",High
MAGGIE'S MATERNITY HOME,Western North,Juaboso,clinic,FALSE,"Location: Gyato C/O Juaboso Govt Hospital | NHIS accredited: Yes | Ownership: Private | Services: Antenatal, Post-natal | Telephone: 024-981-351 | Type: Maternity Home | antenatal care | delivery | labour ward | maternity | maternity care | obstetrics",Provides obstetric and gynecological services,gynecologyAndObstetrics | obstetricsAndMaternityCare,,"Type: Maternity Home. Ownership: Private. Location: GYATO C/O/JUABOSO GOVT HOSPITAL. Tel: 024-981-351. Services: Antenatal, Post-natal. NHIS accredited?: yes.",High
Certa Medical Diagnostics,Greater Accra,Accra,clinic,FALSE,"Offers Doppler ultrasound as part of ultrasound imaging services | Performs abdominal ultrasound | Performs abdominopelvic ultrasound | Performs pelvic ultrasound (male and female) | Provides on-site ultrasound imaging equipment for abdominal, pelvic, and related ultrasound scans | antenatal care | delivery | diagnostic imaging | imaging services | labour ward | maternity | maternity care | obstetrics | urological procedures | urology services",Performs abdominal ultrasound | Performs abdominopelvic ultrasound | Performs pelvic ultrasound (male and female),abdominalRadiology | gynecologyAndObstetrics | urology | breastImaging | musculoskeletalRadiology,"Provides on-site ultrasound imaging equipment for abdominal, pelvic, and related ultrasound scans | Offers Doppler ultrasound as part of ultrasound imaging services","A provider of quality, reliable and convenient ULTRASOUND scans. Specialties: Abdomen/ObGyn/Urology/Doppler/Breast/Scrotal/Thyroid/MSK/Small parts",High
Aneeja Hospital,Greater Accra,Accra,hospital,FALSE,24 hour emergency | A well-equipped standard laboratory | Delivery ward and lying-in ward | Emergency services operate 24/7 | Has 87 French and Ghanaian medical professionals available 24/7 | In-Vitro Fertilization (IVF) Unit | Medical imaging services include ultrasound and electrocardiography (ECG) | NHIS and other private insurance clients welcome | Offers In-Vitro Fertilization (IVF) procedures at an IVF Unit | Overall bed capacity of 39 beds (VIP and common wards) | Performs general surgical procedures through the Surgery department | Physiotherapist; Optometrists; Dentists available | Provides cosmetic and reconstructive surgical procedures | Provides obstetric deliveries in the delivery and lying-in ward | Three paediatric wards (including one VIP) in the paediatric section | Treatment room | Two operating theatres with a recovery room | Urologist on staff | accident and emergency | antenatal care | blood tests | child health | children care | delivery | dental care | dental surgery | diagnostic imaging | diagnostic testing | emergency care | emergency surgical care | eye care | eye surgery | general medicine | general surgery | imaging services | inpatient care | internal medicine | laboratory services | labour ward | maternity | maternity care | neonatal care | obstetrics | operating theatre | optical services | outpatient care | pathology lab | pediatric care | radiology | surgery | surgical procedures | tooth extraction | ultrasound | urological procedures | urology services | x-ray,Provides obstetric deliveries in the delivery and lying-in ward | Offers In-Vitro Fertilization (IVF) procedures at an IVF Unit | Provides cosmetic and reconstructive surgical procedures | Performs general surgical procedures through the Surgery department,pediatrics | dentistry | ophthalmology | plasticSurgery | gynecologyAndObstetrics | reproductiveEndocrinologyAndInfertility | urology | internalMedicine | radiology | pathology | generalSurgery,Two operating theatres with a recovery room | Medical imaging services include ultrasound and electrocardiography (ECG) | A well-equipped standard laboratory | Treatment room,"Ghana's finest French-English hospital. Our medical team consists of 87 French and Ghanaian medical professionals who are at your service 24/7, with French-English bilingual co-founders, a consultant surgeon and a paediatrician. The hospital consists of a team of general practitioners, surgeons & anaesthetists, paediatricians, gynaecologists, an urologist, a physiotherapist, optometrists, dentists, midwives and nurses. It disposes of two operating theatres with a recovery room, an IVF unit, three children’s wards (including one VIP) in the paediatric section, VIP and common wards with an overall capacity of thirty-nine beds, a delivery and lying-in ward, a well-equipped standard laboratory, medical imaging services (Ultrasound & ECG), and a treatment room. NHIS and other private insurance clients are welcome; Ghanaians and foreigners benefit from the same rates.",High
HealthLink Hospital,Greater Accra,Accra,hospital,FALSE,"24 hour emergency | 24/7 services | Centralised medical gas system | Centralised medical gas system (infrastructure) | Cochlear implants and hearing aids provided at the facility | Conducts audiometry testing and hearing assessments | Conducts medical check-ups and health screenings | Dental care and pediatric services | Dialysis machines used in the dialysis clinic | ENT services | Eye care with laser interventions | Fits hearing aids and cochlear implants | HEPA-filtered central air conditioning system | High-end ultrasound and vascular Doppler diagnostic equipment | ICU | International standards for infection prevention and control | Laboratory and radiology support with same-day reporting | Laser eye intervention equipment for eye care | Medevac, hospitalisation and repatriation planning | Offers executive health screening including prostate screening and cervical/breast screening | Offers speech-language therapy | Pediatric and child health services including pediatric development programs | Pediatric health services and child development assessments | Performs root canal treatment | Performs surgical tooth extraction | Performs ultrasound scanning and vascular Doppler examinations | Performs urological, orthopaedic, gynecological and general surgeries | Provides Medevac (medical evacuation) services | Provides dental bridging (dental bridges) | Provides dialysis treatment for kidney disease | Provides eye care with laser interventions | Provides tooth whitening | Provides vaccination services for children and adults | Same-day surgery capability in gynecology, urology, orthopaedics and general surgery | Vaccination unit with cold-chain management | Well-equipped laboratory operated by qualified biomedical scientists | accident and emergency | antenatal care | brain care | brain surgery | cardiac care | cardiology services | child health | children care | delivery | dental care | dental surgery | dialysis | ear nose throat | emergency care | emergency surgical care | eye care | eye surgery | general medicine | general surgery | heart treatment | inpatient care | intensive care | intensive care unit | internal medicine | kidney care | labour ward | maternity | maternity care | neonatal care | neurological treatment | neurology | neurosurgery | obstetrics | operating theatre | optical services | otolaryngology | outpatient care | pediatric care | renal services | spine surgery | surgery | surgical procedures | tooth extraction | urological procedures | urology services","Performs root canal treatment | Performs surgical tooth extraction | Provides tooth whitening | Provides dental bridging (dental bridges) | Offers same-day surgeries in gynecology and women’s health, including colposcopy, LEEP and circumcision for newborns | Performs urological, orthopaedic, gynecological and general surgeries | Provides dialysis treatment for kidney disease | Performs ultrasound scanning and vascular Doppler examinations | Provides vaccination services for children and adults | Conducts audiometry testing and hearing assessments | Fits hearing aids and cochlear implants | Offers speech-language therapy | Offers executive health screening including prostate screening and cervical/breast screening | Conducts medical check-ups and health screenings | Provides Medevac (medical evacuation) services | Provides eye care with laser interventions | Dental care services include root canal treatment, surgical tooth extraction, tooth whitening, and dental bridging | Pediatric health services and child development assessments",dentistry | ophthalmology | gynecologyAndObstetrics | neurology | neurosurgery | otolaryngology | interventionalRadiology | pulmonology | nephrology | pediatrics | endocrinologyAndDiabetesAndMetabolism | cardiology | urology | generalSurgery | internalMedicine,"High-end ultrasound and vascular Doppler diagnostic equipment | Ultrasound scanner capable of abdomino-pelvic, obstetric, musculoskeletal, gynecological, scrotal, urological, cardiac, transcranial and vascular Doppler examinations | Dialysis machines used in the dialysis clinic | Cochlear implants and hearing aids provided at the facility | Laser eye intervention equipment for eye care | Well-equipped laboratory operated by qualified biomedical scientists | Centralised medical gas system | HEPA-filtered central air conditioning system",HealthLink Hospital is a medical facility that is well equipped with a great team of confident and skilled professionals for delivering world standard medical services.,High
Arthurs Clinic & Prostate Center,Greater Accra,Accra,clinic,FALSE,Arthurs Clinic & Prostate Center is the organization referenced in the content | Has pharmacy | Performs natural health medications treatments | Provides Prostate Management | Provides treatment | Specializes in prostate management and treatment | Uses natural health medications for all treatments | Website arthursclinic.com | urological procedures | urology services,Provides Prostate Management | Provides treatment | Performs natural health medications treatments,urology,Has pharmacy,An ultramodern health facility in the heart of Accra that uses natural health medications for all treatments. We are among the leading specialists in Prostate Management and treatment.,High
C.H.I.L.D. & Associates,Greater Accra,Accra,hospital,FALSE,"C.H.I.L.D. & Associates is a pediatric and public health centre in Accra, Ghana. | Ghana's premiere pediatric and public health centre. | Website: childandassociates.org. | child health | children care | general medicine | inpatient care | internal medicine | neonatal care | outpatient care | pediatric care",Provides pediatric and child health care | Provides general internal medicine consultations,pediatrics | publicHealth | internalMedicine,,"Welcome to C.H.I.L.D (Centre for the Health, Immunization, Learning & Development of Children), Ghana's premiere pediatric and public health centre.",High
St Anthony's Hospital in Dzodze Ghana,Volta,Dzodze,hospital,FALSE,Collaborates with SOSSAH Ghana to improve hospital infrastructure and care | Performs surgical operations | SOSSAH Ghana supplies intensive care equipment to St Anthony's Hospital in Dzodze | general medicine | inpatient care | internal medicine | outpatient care,Performs surgical operations,internalMedicine | criticalCareMedicine,SOSSAH Ghana supplies intensive care equipment to St Anthony's Hospital in Dzodze | External electricity is now available at St Anthony's Hospital in Dzodze as part of a power rehabilitation project,"Power rehabilitation project at St. Anthony's Hospital in Dzodze, Ghana.",Medium
Rophe Specialist Care,Greater Accra,Accra,clinic,FALSE,"Aims to provide outpatient specialist care as a private health care facility in Accra, Ghana. | Expanded to include pulmonologist, urologist, gynaecologist and dermatologist. | dermatology services | dialysis | eye care | eye surgery | kidney care | optical services | renal services | skin care | urological procedures | urology services",Provides eye examination and treatment | Provides kidney care and dialysis | Provides urological diagnosis and treatment | Provides skin care and dermatology treatment,endocrinologyAndDiabetesAndMetabolism | ophthalmology | nephrology | pulmonology | urology | gynecology | dermatology,,"Rophe Specialist Care was established in 2017, originally with the intention of being a comprehensive Diabetes & Endocrine center with a physician specialist, endocrinologist/diabetologist, ophthalmologist, psychologist, nephrologist, and dietician. Shortly after it’s inception, it was realized that we could serve our community better by offering other specialist services which were not available within this neighborhood hence the addition of other specialists including a pulmonologist, urologist, gynaecologist and dermatologist.",High
Chrispod Hospital & Diagnostic Center,Greater Accra,Dome,hospital,FALSE,"24 hour emergency | 24/7 emergency department | CT scanner with Interleaved Volume Reconstruction (IVR) technology | Conducts computed tomography (CT) scans | Conducts magnetic resonance imaging (MRI) scans | Core staff strength includes ten nurses, three doctors and four radiographers | Digital Mammography System with high-resolution detector | Digital Radiography system | ENT services | ENT specialist Dr Daniel Clottey available Thursdays 2-4 PM | ENT specialist Dr Kamal Walid Amer on staff | Has 120-bed capacity general hospital | Labour rooms | MRI system powered by BASDA software platform | Mortuary cold room with capacity for thirty bodies | Mortuary with autopsy room | NHIS accreditation | Newborn ward | Obstetrician & Gynecologist Dr Paul Adomako provides 24-hour service | Offers on-site Diagnostic Unit and Radiography Unit | On-site Laboratories and CHDC Pharmaceutical Care | On-site state-of-the-art laboratories | Performs digital radiography (X-ray) imaging | Performs mammography imaging | Plans to secure interpretation services by U.S. or U.K. certified radiologists | Provides obstetric care including prenatal and postnatal services | Provides ophthalmology services including routine eye examinations and medical/surgical management | Radiology turnaround time: diagnosis delivered within three hours and under one hour in emergencies | Recovery rooms | Separate wards for men, women and children | Site area of 1,300 square meters | Two fully equipped operating theatres | accident and emergency | antenatal care | blood tests | child health | children care | delivery | diagnostic imaging | diagnostic testing | ear nose throat | emergency care | emergency medicine | eye care | eye surgery | general medicine | imaging services | inpatient care | internal medicine | laboratory services | labour ward | maternity | maternity care | neonatal care | obstetrics | operating theatre | optical services | otolaryngology | outpatient care | pathology lab | pediatric care | radiology | surgery | surgical procedures | trauma care | ultrasound | x-ray","Conducts magnetic resonance imaging (MRI) scans | Conducts computed tomography (CT) scans | Performs mammography imaging | Performs digital radiography (X-ray) imaging | Provides obstetric care including prenatal and postnatal services | Provides ENT services including evaluation and treatment of ear, nose and throat disorders and related surgeries | Provides ophthalmology services including routine eye examinations and medical/surgical management | Provides basic laboratory diagnostic testing including blood tests, urinalysis and tissue specimen analysis",internalMedicine | otolaryngology | ophthalmology | gynecologyAndObstetrics | emergencyMedicine | radiology | pathology | breastImaging | pediatrics,"Two fully equipped operating theatres | Recovery rooms | Labour rooms | Newborn ward | Mortuary with autopsy room | Mortuary cold room with capacity for thirty bodies | MRI system powered by BASDA software platform | CT scanner with Interleaved Volume Reconstruction (IVR) technology | Digital Mammography System with high-resolution detector | Digital Radiography system | On-site state-of-the-art laboratories | Separate wards for men, women and children | Site area of 1,300 square meters","Chrispod Hospital & Diagnostic Center is a private 120-bed hospital in Dome, Ga East Municipality, Greater Accra Region. It operates a 30-body capacity mortuary, two fully equipped operating theatres, a labour room, a 15-bed newborn ward, separate wards for men, women and children, a diagnostic department with radiology modalities (MRI, CT, X-ray, mammography) and a laboratory providing comprehensive diagnostic testing. The hospital provides 24/7 ambulance service and is NHIS-accredited. Founding information includes Mr. Christian Kpodo as founder; ENT specialists Dr. Kamal Walid Amer and Dr. Daniel Clottey; the hospital is led by private sector management.",High
Chrispod Hospital & Diagnostic Centre,Greater Accra,Accra,hospital,FALSE,April 2023: Easter discount bonanza offered 80% discount on selected laboratory tests | Categorized as a primary health hospital | Has diagnostic equipment | Operates 24 hours daily as a private health care facility | Performs diagnostic services | Provides primary health care services | Serves the Dome area and its environs | blood tests | diagnostic testing | general medicine | inpatient care | internal medicine | laboratory services | outpatient care | pathology lab,Provides primary health care services | Performs diagnostic services,internalMedicine | pathology,Has diagnostic equipment,"A 24-hour operating private health care facility, established to serve the growing population of Dome and its environs. The hospital is categorized under primary health hospital.",High
Chrispod Hospital and Diagnostic Center,Greater Accra,Dome,hospital,FALSE,"120-bed capacity general hospital | 24 hour emergency | 24/7 emergency service including ambulance support | CT imaging system with Interleaved Volume Reconstruction (IVR) | Core staff strength of ten nurses, three doctors and four radiographers | Diagnostic imaging procedures including CT scans, MRI, mammography, and digital radiography | Dietician Andrews Appiah | Digital Mammography System with robust detector | Digital Radiography system | ENT services | ENT specialist Dr. Kamal Walid Amer | MRI system BASDA with BASDA software platform | Mortuary with 30-body capacity cold room and autopsy room | NHIS-accredited hospital | Newborn ward facilities | Obstetrician & Gynecologist Dr. Paul Adomako | Obstetrics and Gynecology services covering prenatal to postnatal care | On-site laboratory services including blood tests, urinalysis, tissue testing and screening tests | On-site pharmacy services (CHDC Pharmaceutical Care) | State-of-the-art laboratories for diagnostic testing | Two fully equipped operating theatres with recovery rooms and labour rooms | accident and emergency | antenatal care | blood tests | child health | children care | delivery | diagnostic imaging | diagnostic testing | ear nose throat | emergency care | emergency medicine | eye care | eye surgery | general medicine | imaging services | inpatient care | internal medicine | laboratory services | labour ward | maternity | maternity care | neonatal care | obstetrics | operating theatre | optical services | otolaryngology | outpatient care | pathology lab | pediatric care | radiology | surgery | surgical procedures | trauma care | ultrasound | x-ray","ENT services including diagnosis and treatment of ear, nose and throat disorders and balance/dizziness conditions | Obstetrics and Gynecology services covering prenatal to postnatal care | Ophthalmology services including comprehensive eye examinations, medical and surgical management of eye conditions, routine eye exams and eyeglasses prescriptions | Diagnostic imaging procedures including CT scans, MRI, mammography, and digital radiography",internalMedicine | otolaryngology | ophthalmology | gynecologyAndObstetrics | radiology | pathology | pediatrics | emergencyMedicine | anesthesia,Two fully equipped operating theatres with recovery rooms and labour rooms | Newborn ward facilities | MRI system BASDA with BASDA software platform | Digital Mammography System with robust detector | Digital Radiography system | CT imaging system with Interleaved Volume Reconstruction (IVR) | State-of-the-art laboratories for diagnostic testing,"NHIS-accredited hospital located in Dome near Parakuo Estates in the Ga East Municipality, Greater Accra Region. It is a 120-bed facility with separate wards for men, women and children, two fully equipped operating theatres, recovery rooms, a 15-bed newborn ward, and a 30-body capacity mortuary. The hospital provides Laboratory Services and Radiology, including MRI, CT, X-Ray and Mammography, and CHDC Pharmaceutical Care. It operates a 24/7 ambulance service.",High
Bechem Government Hospital,Ahafo,Bechem,hospital,FALSE,Average daily attendance is around 366 patients. | Bechem Government Hospital has a bed capacity of 155. | Contracted NHIA provider for the Tano South District Health Insurance Scheme (TSDHIS). | Dental chair donated to Bechem Government Hospital in May 2016 | No specific clinical procedures listed in provided content. | Not-for-profit facility. | Phototherapy machine donated to Bechem Government Hospital in May 2016 | Provides 24-hour service. | Serves as a referral hospital for all sub-district health facilities. | antenatal care | delivery | dental care | dental surgery | general medicine | inpatient care | internal medicine | labour ward | maternity | maternity care | obstetrics | outpatient care | tooth extraction,No specific clinical procedures listed in provided content.,internalMedicine | dentistry | gynecologyAndObstetrics,Phototherapy machine donated to Bechem Government Hospital in May 2016 | Dental chair donated to Bechem Government Hospital in May 2016,"The Bechem Government Hospital was started by the Presbyterian Church, Ghana, as a Maternity Home in 1950 and handed over to the Bechem Community. It was finally handed over to the Ministry of Health on 1st July, 1978 as a Health Centre and currently operating as a District (Secondary) Hospital with 155 Bed Capacity.  The Hospital is a Secondary Ghana Health Service facility in the Tano South District of the Ahafo Region operating on not-for-profit basis. The Hospital serves as a Referral Hospital for all sub-district health facilities with an average daily attendance hovering around 366 patients.  The Hospital serves as the main health facility contracted for the provision of health services to clients of the Tano South District Health Insurance Scheme (TSDHIS) of the National Health Insurance Authority (NHIA).  It is the intention of the Facility to satisfy our numerous target groups, thus, patients, visitors to patients, corporate organizations, suppliers, its staff and employers of Ghana Health Service and Ministry of Health at large.  The Hospital also aims at inculcating into its staff the spirit of dedication and service to our customers/clients and to achieve a much satisfied clientele.  The Hospital has both Mission and Vision statements which are in line with the Ghana Health Service (GHS).",High
Catholic Hospital Battor,Volta,Battor,hospital,FALSE,"Has laboratory | Has pharmacy | Has radiology equipment | Located on Battor-Mepe Road, Battor, Ghana | Official website catholichospitalbattor.org | Provides dentistry services | Provides emergency services | Provides general medical services | Provides laboratory services | Provides pharmacy services | Provides radiology services | Provides surgical services | Visiting urologist scheduled February 1-16, 2025 | general medicine | inpatient care | internal medicine | outpatient care",Provides general medical services | Provides surgical services | Provides emergency services | Provides laboratory services | Provides pharmacy services | Provides radiology services | Provides dentistry services,internalMedicine,Has laboratory | Has pharmacy | Has radiology equipment,"Catholic Hospital Battor is a hospital located in Battor, in the Volta Region of Ghana.",Medium
SOMACAS Hospital,Oti,Nkwanta,hospital,FALSE,"24 hour emergency | 24-hour outpatient services available | 24/7 inpatient services available | Conducts laboratory diagnostic tests | Emergency care provided on-site | Endoscopy equipment on-site | In 2023, SOMACAS Hospital recorded 125 SVD cases | In 2023, SOMACAS Hospital recorded 148 CS cases | In 2023, SOMACAS Hospital recorded 2122 inpatient cases | In 2023, SOMACAS Hospital recorded 412 ANC cases | In 2023, SOMACAS Hospital recorded 8410 OPD cases | In 2023, SOMACAS Hospital recorded 868 typhoid cases | Inpatient and outpatient medical services are provided | Laboratory services on-site | Maternity and Fertility services including prenatal care, labor, delivery and postnatal care | On-site electrocardiography (ECG) machine | On-site ultrasound scanner | Pediatric care services provided | Performs endoscopy | Pharmacy services on-site | Provides electrocardiography (ECG) services | Provides ultrasound scans | SOMACAS Hospital offers surgical services | accident and emergency | antenatal care | blood tests | child health | children care | delivery | dental care | dental surgery | diagnostic imaging | diagnostic testing | emergency care | emergency medicine | general medicine | imaging services | inpatient care | internal medicine | laboratory services | labour ward | maternity | maternity care | neonatal care | obstetrics | operating theatre | outpatient care | pathology lab | pediatric care | surgery | surgical procedures | tooth extraction | trauma care",SOMACAS Hospital offers surgical services | Performs endoscopy | Provides ultrasound scans | Provides electrocardiography (ECG) services | Conducts laboratory diagnostic tests,internalMedicine | dentistry | gynecologyAndObstetrics | emergencyMedicine | pediatrics | pathology,On-site ultrasound scanner | On-site electrocardiography (ECG) machine | Endoscopy equipment on-site,"SOMACAS Hospital is a primary hospital established with the aim of providing modern and standard medical care at affordable costs to its rural communities in Kpassa and its environs. The range of services provided includes in-patient and out-patient medical services, surgical services, laboratory services, ante-natal services, pharmacy services, ultrasound scans, ECG, endoscopy, Catering services, optometry services, and community outreach among others.",High
St. Francis Xavier Hospital,Central,Assin-Foso,hospital,FALSE,24 hour emergency | ENT services | Has a bed capacity of 156. | Is an accredited NHIS facility. | Offers Emergency Medicine and Blood Transfusion Services. | Offers Laboratory Services. | Offers Mortuary Services. | Offers OPD and inpatient services. | Offers Radiology Specialist Services. | Offers TB Control and HIV/AIDS Programme. | Provides 24-hour emergency and ambulance service. | Safecare assessment in 2020 placed the facility at level 4. | accident and emergency | antenatal care | blood tests | child health | children care | delivery | dental care | dental surgery | diagnostic imaging | diagnostic testing | ear nose throat | emergency care | emergency medicine | eye care | eye surgery | general medicine | imaging services | inpatient care | internal medicine | laboratory services | labour ward | maternity | maternity care | neonatal care | obstetrics | optical services | otolaryngology | outpatient care | pathology lab | pediatric care | radiology | tooth extraction | trauma care | ultrasound | x-ray,Provides eye examination and treatment | Provides dental care and oral health services | Performs diagnostic imaging and X-rays | Provides obstetric and gynecological services | Provides pediatric and child health care | Provides emergency and trauma care | Performs laboratory and diagnostic testing | Provides general internal medicine consultations,ophthalmology | otolaryngology | dentistry | radiology | physicalMedicineAndRehabilitation | gynecologyAndObstetrics | pediatrics | infectiousDiseases | emergencyMedicine | pathology | anesthesia | internalMedicine,,St. Francis Xavier Hospital is an accredited NHIS facility that provides safe healthcare for the people of Assin Foso and its environs. With a bed capacity of 156.,High
